实验编号,角度矫顽力,角度平均饱和值,椭率矫顽力,椭率平均饱和值
1,404.07089942037874,0.26726690042048074,-83.41019971257838,0.07560248889703576
2,381.05326263631594,0.2697401475443406,-128.68821300348873,0.08058767507553408
3,379.81249895505056,0.26162339976505644,-98.90751395925587,0.04936548464310607
4,428.0364129894943,0.264537958246525,-174.48942018031295,0.08860541637106391
5,416.6703956626059,0.2611018512933244,-163.40720254835196,0.08177419893402146

统计信息,,,,
矫顽力平均值,401.9286939327691,,-129.78050988079758,
平均饱和值平均值,0.2648540514539454,,0.07518705278415225,
